fid2,ID_LINE,ID_POINT,DISTANCE,OVERLAND,X,Y,Z
5403,24,5403,14.003354025,14.02623829,142991.54052,2660321.7114,-37.11000061
5404,24,5404,14.541944564,14.56566384,142991.74072,2660321.2114,-37.079998016
5405,24,5405,15.080535103,15.105737763,142991.94092,2660320.7114,-37.119998932
5406,24,5406,15.619125643,15.645811686,142992.14112,2660320.2114,-37.159999847
5407,24,5407,16.157716182,16.185885609,142992.34132,2660319.7114,-37.200000763
5408,24,5408,16.696306722,16.724476149,142992.54152,2660319.2114,-37.200000763
5409,24,5409,17.234897261,17.263901487,142992.74172,2660318.7114,-37.229999542
5410,24,5410,17.773487801,17.802584823,142992.94192,2660318.2114,-37.239997864
5411,24,5411,18.31207834,18.34708465,142993.14211,2660317.7114,-37.319999695
5412,24,5412,18.850668879,18.886509989,142993.34231,2660317.2114,-37.349998474
5413,24,5413,19.389259419,19.432568407,142993.54251,2660316.7114,-37.259998322
5414,24,5414,19.927849958,19.97264233,142993.74271,2660316.2114,-37.219997406
5415,24,5415,20.466440498,20.511604099,142993.94291,2660315.7114,-37.239997864
5416,24,5416,21.005031037,21.050194638,142994.14311,2660315.2114,-37.239997864
5417,24,5417,21.543621576,21.588878044,142994.34331,2660314.7114,-37.25
5418,24,5418,22.082212116,22.130800064,142994.54351,2660314.2114,-37.309997559
